Outlook	  Temp	  Humidity	Windy	    Play
Rainy	    Hot	      High	  Weak	    no
Rainy	    Hot	      High	  Strong    no
Overcast	Hot	      High	  Weak	    yes
Sunny	    Mild	    High	  Weak	    yes
Sunny	    Cool	    Normal	Weak	    yes
Sunny	    Cool	    Normal	Strong	  no
Overcast	Cool	    Normal	Strong	  yes
Rainy	    Mild	    High	  Weak	    no
Rainy	    Cool	    Normal	Weak	    yes
Sunny	    Mild	    Normal	Weak	    yes
Rainy	    Mild	    Normal	Strong	  yes
Overcast	Mild	    High	  Strong	  yes
Overcast	Hot	      Normal	Weak	    yes
Sunny	    Mild	    High	  Strong	  no
